,Start Date,End Date,Duration(Days),State
51,2015-10-05,2015-05-14,Diffing the dates,KERALA
52,2015-05-15,2015-05-28,13,KERALA
53,2015-08-06,2015-06-16,Diffing the dates,KERALA
54,2015-06-19,2015-06-29,10,KERALA
55,2015-07-18,2015-07-20,2,KERALA
56,2015-12-08,2015-12-08,0,KERALA
57,2015-05-09,2015-06-09,31,KERALA
58,2015-09-27,2015-09-28,1,KERALA
59,2015-08-10,2015-09-10,31,KERALA
60,2015-10-30,2015-10-31,1,KERALA
61,2015-01-11,2015-11-21,314,KERALA
62,2015-08-12,2015-12-19,129,KERALA
63,2015-07-19,2015-07-21,2,MADHYA PRADESH
64,2015-08-13,2015-08-13,0,MADHYA PRADESH
65,2015-07-06,2015-06-16,Diffing the dates,MAHARASHTRA
66,2015-06-23,2015-06-23,0,MAHARASHTRA
67,2015-07-20,2015-07-20,0,MAHARASHTRA
68,2015-07-28,2015-07-28,0,MAHARASHTRA
69,2015-07-29,2015-07-29,0,MAHARASHTRA
70,2015-06-08,2015-08-14,67,MAHARASHTRA
71,2015-06-17,2015-06-17,0,MEGHALAYA
72,2015-01-08,2015-01-08,0,ODISHA
73,2015-02-08,2015-02-08,0,ODISHA
74,2015-09-14,2015-09-16,2,ODISHA
75,2015-01-06,2015-09-30,267,PUNJAB
76,2015-03-14,2015-03-15,1,RAJASTHAN
77,2015-07-22,2015-07-31,9,RAJASTHAN
78,2015-01-08,2015-05-08,120,RAJASTHAN
79,2015-08-16,2015-08-16,0,RAJASTHAN
80,2015-01-07,2015-01-07,0,SIKKIM
81,2015-05-07,2015-05-07,0,SIKKIM
82,2015-12-04,2015-12-04,0,TAMIL NADU
83,2015-04-21,2015-04-21,0,TAMIL NADU
84,2015-04-25,2015-04-25,0,TAMIL NADU
85,2015-05-14,2015-05-14,0,TAMIL NADU
86,2015-05-17,2015-05-19,2,TAMIL NADU
87,2015-06-17,2015-06-17,0,TAMIL NADU
88,2015-06-21,2015-06-21,0,TAMIL NADU
89,2015-07-17,2015-07-17,0,TAMIL NADU
90,2015-09-11,2015-09-11,0,TAMIL NADU
91,2015-11-11,2015-11-13,2,TAMIL NADU
92,2015-11-18,2015-11-22,4,TAMIL NADU
93,2015-11-23,2015-11-23,0,TAMIL NADU
94,2015-11-28,2015-11-30,2,TAMIL NADU
95,2015-01-12,2015-03-12,59,TAMIL NADU
96,2015-08-12,2015-11-12,92,TAMIL NADU
97,2015-06-04,2015-12-04,183,TELANGANA
98,2015-04-04,2015-04-04,0,UTTAR PRADESH
99,2015-11-07,2015-12-07,30,UTTAR PRADESH
100,2015-10-28,2015-10-28,0,UTTAR PRADESH
101,2015-01-12,2015-01-12,0,UTTAR PRADESH
102,2015-07-26,2015-07-26,0,UTTARAKHAND
103,2015-01-07,2015-10-07,273,WEST BENGAL
104,2015-07-20,2015-07-24,4,WEST BENGAL
105,2015-02-12,2015-02-12,0,PUDUCHERRY
106,2016-07-14,2016-07-14,0,ANDHRA PRADESH
107,2016-09-15,2016-09-16,1,ANDHRA PRADESH
108,2016-01-09,2016-09-30,265,ANDHRA PRADESH
109,2016-04-22,2016-04-22,0,ARUNACHAL PRADESH
110,2016-04-24,2016-04-27,3,ARUNACHAL PRADESH
111,2016-01-07,2016-01-07,0,ARUNACHAL PRADESH
112,2016-05-08,2016-05-08,0,ARUNACHAL PRADESH
113,2016-11-09,2016-12-09,30,ARUNACHAL PRADESH
114,2016-04-21,2016-04-21,0,ASSAM
115,2016-04-24,2016-04-27,3,ASSAM
116,2016-05-17,2016-05-17,0,ASSAM
117,2016-05-18,2016-05-18,0,ASSAM
118,2016-06-19,2016-06-25,6,ASSAM
119,2016-03-07,2016-07-07,122,ASSAM
120,2016-07-07,2016-07-07,0,ASSAM
121,2016-07-13,2016-07-18,5,ASSAM
122,2016-07-14,2016-07-14,0,ASSAM
123,2016-07-21,2016-07-31,10,ASSAM
124,2016-01-08,2016-05-08,121,ASSAM
125,2016-08-13,2016-08-13,0,ASSAM
126,2016-01-09,2016-07-09,182,ASSAM
127,2016-09-13,2016-09-16,3,ASSAM
128,2016-05-18,2016-05-18,0,BIHAR
129,2016-07-25,2016-07-27,2,BIHAR
130,2016-12-08,2016-12-08,0,BIHAR
131,2016-08-17,2016-08-21,4,BIHAR
132,2016-08-23,2016-08-25,2,BIHAR
133,2016-08-28,2016-08-28,0,BIHAR
134,2016-08-30,2016-08-30,0,BIHAR
135,2016-01-09,2016-02-09,31,BIHAR
136,2016-03-09,2016-03-09,0,BIHAR
137,2016-02-06,2016-03-06,29,CHHATTISGARH
138,2016-12-06,2016-06-13,Diffing the dates,CHHATTISGARH
139,2016-02-08,2016-02-08,0,CHHATTISGARH
140,2016-08-19,2016-08-19,0,CHHATTISGARH
141,2016-08-26,2016-08-31,5,CHHATTISGARH
142,2016-11-09,2016-09-13,Diffing the dates,CHHATTISGARH
143,2016-01-06,2016-09-28,266,GUJARAT
144,2016-10-05,2016-10-05,0,HIMACHAL PRADESH
145,2016-06-15,2016-06-16,1,HIMACHAL PRADESH
146,2016-03-07,2016-04-07,31,HIMACHAL PRADESH
147,2016-10-07,2016-07-17,Diffing the dates,HIMACHAL PRADESH
148,2016-07-23,2016-07-31,8,HIMACHAL PRADESH
149,2016-01-08,2016-02-08,31,HIMACHAL PRADESH
150,2016-05-08,2016-07-08,61,HIMACHAL PRADESH
151,2016-10-08,2016-12-08,61,HIMACHAL PRADESH
152,2016-08-17,2016-08-18,1,HIMACHAL PRADESH
153,2016-08-25,2016-08-26,1,HIMACHAL PRADESH
154,2016-12-05,2016-12-05,0,JAMMU & KASHMIR
155,2016-07-06,2016-07-06,0,JAMMU & KASHMIR
156,2016-07-27,2016-07-27,0,JAMMU & KASHMIR
157,2016-05-08,2016-05-08,0,JAMMU & KASHMIR
158,2016-06-08,2016-07-08,30,JAMMU & KASHMIR
159,2016-08-24,2016-08-24,0,JAMMU & KASHMIR
160,2016-03-07,2016-05-07,61,JHARKHAND
161,2016-03-08,2016-03-08,0,JHARKHAND
162,2016-12-08,2016-12-08,0,JHARKHAND
163,2016-08-16,2016-08-18,2,JHARKHAND
164,2016-08-22,2016-08-23,1,JHARKHAND
165,2016-09-09,2016-12-09,91,JHARKHAND
166,2016-09-10,2016-09-10,0,JHARKHAND
167,2016-06-20,2016-06-20,0,KARNATAKA
168,2016-06-22,2016-06-22,0,KARNATAKA
169,2016-06-27,2016-06-27,0,KARNATAKA
170,2016-03-07,2016-06-07,92,KARNATAKA
171,2016-11-07,2016-12-07,30,KARNATAKA
172,2016-07-15,2016-07-15,0,KARNATAKA
173,2016-07-22,2016-07-22,0,KARNATAKA
174,2016-07-29,2016-07-29,0,KARNATAKA
175,2016-07-31,2016-07-31,0,KARNATAKA
176,2016-05-08,2016-09-08,123,KARNATAKA
177,2016-08-18,2016-08-18,0,KARNATAKA
178,2016-09-15,2016-09-16,1,KARNATAKA
179,2016-09-22,2016-09-26,4,KARNATAKA
180,2016-12-13,2016-12-14,1,KARNATAKA
181,2016-04-14,2016-04-14,0,KERALA
182,2016-05-31,2016-05-31,0,KERALA
183,2016-07-06,2016-09-06,62,KERALA
184,2016-10-06,2016-06-13,Diffing the dates,KERALA
185,2016-06-16,2016-06-19,3,KERALA
186,2016-06-26,2016-06-29,3,KERALA
187,2016-02-07,2016-02-07,0,KERALA
188,2016-10-07,2016-07-15,Diffing the dates,KERALA
189,2016-09-18,2016-09-18,0,KERALA
190,2016-06-30,2016-06-30,0,MADHYA PRADESH
191,2016-06-07,2016-06-07,0,MADHYA PRADESH
192,2016-07-07,2016-07-07,0,MADHYA PRADESH
193,2016-08-07,2016-10-07,61,MADHYA PRADESH
194,2016-02-08,2016-02-08,0,MADHYA PRADESH
195,2016-08-19,2016-08-20,1,MADHYA PRADESH
196,2016-05-21,2016-05-21,0,MAHARASHTRA
197,2016-06-06,2016-06-06,0,MAHARASHTRA
198,2016-06-20,2016-06-20,0,MAHARASHTRA
199,2016-06-25,2016-06-25,0,MAHARASHTRA
200,2016-01-07,2016-03-07,60,MAHARASHTRA
201,2016-08-07,2016-10-07,61,MAHARASHTRA
202,2016-11-07,2016-12-07,30,MAHARASHTRA
203,2016-12-07,2016-12-07,0,MAHARASHTRA
204,2016-07-28,2016-07-28,0,MAHARASHTRA
205,2016-07-30,2016-07-31,1,MAHARASHTRA
206,2016-01-08,2016-01-08,0,MAHARASHTRA
207,2016-02-08,2016-02-08,0,MAHARASHTRA
208,2016-03-08,2016-03-08,0,MAHARASHTRA
209,2016-09-24,2016-09-26,2,MAHARASHTRA
210,2016-02-10,2016-04-10,60,MAHARASHTRA
211,2016-05-23,2016-05-23,0,MIZORAM
212,2016-09-18,2016-09-18,0,MIZORAM
213,2016-03-08,2016-08-08,153,MIZORAM
214,2016-11-07,2016-11-07,0,RAJASTHAN
